audio,Audio,Audio,Audio,Avdio,,Audio,Ακουστικό υλικό
text,Text,Texte,Text,Besedilo,,Text,Κείμνο
picture,Pictures,Images,Biller,Slike,,Bilder,Εικόνες
story-guide,Story's reading Guide - this is the specific guide for each story which has questions teachers can answer,Lecture de l'Histoire,Guide fir d'Geschicht,Napotki za dialoško branje zgodbe,,"Lese-Leitfaden - dies ist ein Leifaden für jede Geschichte mit Fragen, welche Lehrpersonen stellen oder auch selbst beantworten können.",
dialog-guide,"Dialogic reading Guide - this is the ""general+ 2-page guide we wrote in Trento",Guide de Lecture Dialogique,Guide fir Dialogescht Liesen,Vodnik za dialoško branje,,Dialogischer Leseleitfaden ,Οδηγός Διαλογικής Ανάγνωσης
go,Go,Go,Go,Naprej,,Los,Πήγαινε
play,Play,Play,Play,Predvajaj,,Abspielen,Παίξε
pc,Plurilingual Competence,Compétence plurilingue,Méisproochekompetenz,Raznojezična zmožnost,,Plurilinguale Kompetenz,Πολυγλωσσικές δεξιότητες
els,Early Literacy Skills,Compétences en littératie de la Petite Enfance,Fréizäiteg Entwécklung vu Kompetenzen an der Literacy,Začetno opismenjevanje,,Frühe Literacy-Kompetenzen,Πρώιμες Δεξιότητες Γραμματισμού
iau,Intercultural Awareness and Understanding,Sensibilisation et compréhension interculturelles,Interkulturellt Bewosstsinn a Verständnis,Medkulturno zavedanje in razumevanje,,Interkulturelle Bewusstsein und Verständnis,Διαπολιτισμική συνειδητοποίηση και κατανόηση
la,Language Awareness,Éveil aux Sciences,Sproochbewosstsinn,Jezikovno zavedanje,,Sprachbewusstsein,Γλωσσική επίγνωση
check-activities,Please check all activities you would like to download and press the download button or simply click on the activity button you would like to see.,"Veuillez cocher toutes les activités que vous souhaitez télécharger, puis appuyez sur le bouton de téléchargement ou cliquez simplement sur l’activité que vous souhaitez afficher.","Kräizt w.e.g. all Aktivitéiten un, déi Dir wëllt eroflueden. Klickt duerno op de Knäppchen ‘Download’ oder klickt einfach op d’Aktivitéit, déi Dir wëllt ugewise kréien.","Prosimo, označite vse dejavnosti, ki jih želite prenesti, in kliknite gumb za prenos ali preprosto kliknite na dejavnost, ki jo želite videti.",,"Bitte überprüfe alle Aktivitäten, welche heruntergeladen werden sollen und klicke auf den Download-Knopf oder einfach auf den Aktivitäten-Knopf, welcher angezeigt werden soll.","Παρακαλώ, επιλέξτε όλες τις δραστηριότητες που θέλετε να κατεβάσετε και πατήστε το κουμπί «Λήψη» ή απλά κάντε κλικ στο κουμπί της δραστηριότητας που θέλετε να δείτε."
select-all,Select All,Sélectionner tout,Alles Auswielen,Izberi vse,,Alle auswählen,Επιλογή όλων
story-title,Story Title,Titre de l’Histoire,Titel vun der Geschicht,Naslov zgodbe,,Titel der Geschichte,Τίτλος ιστορίας
about-us,About Us,À propos de Nous,Iwwer Eis,O nas,,Über uns,Σχετικά με εμάς
agentive-footer,AGENTIVE - A platform for multilingual education,AGENTIVE – Une plateforme pour l’éducation multilingue,AGENTIVE – Eng Plattform fir Méisproochegkeet an der Bildung,AGENTIVE - platforma za večjezično izobraževanje,,Agentive - eine Plattform für die Förderung früher Mehrsprachigkeit,AGENTIVE- Μια ψηφιακή πλατφόρμα για την πολυγλωσσική εκπαίδευση
contact-us,Contact Us,Contactez-Nous,Kontakt   ,Kontakt,,Kontaktiere uns,Επικοινωνία
legal,Legal aspects,Aspects juridiques    ,Juristesch Aspekter,Pravni vidiki,,Rechtliches,Νομικές πτυχές
impress,Impress,Mentions légales    ,Impressum,Pravno obvestilo,,Impressum,Εντύπωση
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
